molecule_name,atom_count_total,final_energy_eV,homo_lumo_gap_eV,wall_time_s,relaxation_steps,max_force_eV_per_A,failure_category,final_energy_eV_pubchem,homo_lumo_gap_eV_pubchem,wall_time_s_pubchem,relaxation_steps_pubchem,max_force_eV_per_A_pubchem,final_energy_eV_diff,final_energy_eV_abs_diff,homo_lumo_gap_eV_diff,homo_lumo_gap_eV_abs_diff,wall_time_s_diff,wall_time_s_abs_diff,relaxation_steps_diff,relaxation_steps_abs_diff,max_force_eV_per_A_diff,max_force_eV_per_A_abs_diff,source_model
pentane,17,-89.833913,6.875265,980.504,92,0.043752,NONE,-89.902519,7.014953,2589.445,15,0.042426,0.06860600000000261,0.06860600000000261,-0.13968800000000048,0.13968800000000048,-1608.9410000000003,1608.9410000000003,77,77,0.0013260000000000008,0.0013260000000000008,mistral
phenol,13,-83.046964,4.270426,675.368,36,0.037684,NONE,-83.047851,4.2699,2642.709,15,0.049534,0.0008869999999916445,0.0008869999999916445,0.0005259999999998044,0.0005259999999998044,-1967.341,1967.341,21,21,-0.01185,0.01185,mistral
propane,11,-56.909462,7.210271,476.842,53,0.044214,NONE,-56.904796,7.217379,1165.817,9,0.041879,-0.004666000000000281,0.004666000000000281,-0.007108000000000558,0.007108000000000558,-688.975,688.975,44,44,0.0023350000000000037,0.0023350000000000037,mistral
propene,9,-48.569518,5.4731,311.75,43,0.04158,NONE,-48.582149,5.470014,1120.193,10,0.041208,0.012630999999998949,0.012630999999998949,0.0030859999999997,0.0030859999999997,-808.443,808.443,33,33,0.00037199999999999733,0.00037199999999999733,mistral
pyridine,11,-71.294539,4.047485,226.546,20,0.046202,NONE,-71.294542,4.042145,3000.886,19,0.04903,3.000000006636583e-06,3.000000006636583e-06,0.0053400000000003445,0.0053400000000003445,-2774.34,2774.34,1,1,-0.002827999999999997,0.002827999999999997,mistral
styrene,16,-100.778879,3.615369,451.639,30,0.043364,NONE,-100.767559,3.776135,4856.79,24,0.049692,-0.011319999999997776,0.011319999999997776,-0.1607660000000002,0.1607660000000002,-4405.151,4405.151,6,6,-0.006328,0.006328,mistral
sulfur_dioxide,3,-17.681571,3.499355,43.375,7,0.048838,NONE,-17.690097,3.50809,520.107,6,0.047686,0.008525999999999812,0.008525999999999812,-0.00873500000000016,0.00873500000000016,-476.73199999999997,476.73199999999997,1,1,0.0011520000000000002,0.0011520000000000002,mistral
tetrahydrofuran,13,,,,2,,Geometry defect - Wrong connectivity / misplaced atoms,-72.289528,4.91263,1923.833,10,0.035834,,,,,,,-8,8,,,mistral
thiophene,9,-54.056735,4.485118,116.859,13,0.048111,NONE,-54.070577,4.479394,1651.166,12,0.031376,0.013841999999996801,0.013841999999996801,0.00572399999999984,0.00572399999999984,-1534.307,1534.307,1,1,0.016735,0.016735,mistral
toluene,15,-92.522607,4.812943,471.191,34,0.041561,NONE,-92.513964,4.820273,2746.088,15,0.037802,-0.008642999999992185,0.008642999999992185,-0.007330000000000503,0.007330000000000503,-2274.8970000000004,2274.8970000000004,19,19,0.0037589999999999985,0.0037589999999999985,mistral
triethylamine,22,-117.6952,4.173206,2247.16,125,0.045599,NONE,-117.737718,4.348497,4012.98,19,0.045877,0.042518000000001166,0.042518000000001166,-0.17529099999999964,0.17529099999999964,-1765.8200000000002,1765.8200000000002,106,106,-0.00027800000000000047,0.00027800000000000047,mistral
urea,8,-48.530952,4.973649,345.554,45,0.042888,NONE,-48.502768,4.892224,3083.509,28,0.036074,-0.02818399999999599,0.02818399999999599,0.0814250000000003,0.0814250000000003,-2737.955,2737.955,17,17,0.006814000000000001,0.006814000000000001,mistral
water,3,-14.620623,6.263208,24.137,5,0.045482,NONE,-14.621105,6.262384,308.046,5,0.039662,0.0004819999999998714,0.0004819999999998714,0.0008239999999997139,0.0008239999999997139,-283.909,283.909,0,0,0.005819999999999999,0.005819999999999999,mistral
