molecule_name,atom_count_total,final_energy_eV,homo_lumo_gap_eV,wall_time_s,relaxation_steps,max_force_eV_per_A,failure_category,final_energy_eV_pubchem,homo_lumo_gap_eV_pubchem,wall_time_s_pubchem,relaxation_steps_pubchem,max_force_eV_per_A_pubchem,final_energy_eV_diff,final_energy_eV_abs_diff,homo_lumo_gap_eV_diff,homo_lumo_gap_eV_abs_diff,wall_time_s_diff,wall_time_s_abs_diff,relaxation_steps_diff,relaxation_steps_abs_diff,max_force_eV_per_A_diff,max_force_eV_per_A_abs_diff,source_model
acetone,10,-56.330473,3.977787,3267.096,21,0.031761,NONE,-56.336647,3.981878,1479.5,10,0.04662,0.006174000000001456,0.006174000000001456,-0.004090999999999845,0.004090999999999845,1787.596,1787.596,11,11,-0.014859000000000004,0.014859000000000004,gemini
2-chloropropane,11,-55.488662,6.219717,7574.46,48,0.045451,NONE,-55.473132,6.222513,2118.443,15,0.035238,-0.015529999999998267,0.015529999999998267,-0.0027960000000000207,0.0027960000000000207,5456.017,5456.017,33,33,0.010213,0.010213,gemini
ammonia,4,-19.629938,5.465056,1810.309,26,0.040356,NONE,-19.630157,5.440926,2649.357,40,0.031321,0.0002190000000013015,0.0002190000000013015,0.02412999999999954,0.02412999999999954,-839.048,839.048,-14,14,0.009035000000000001,0.009035000000000001,gemini
bromoethane,8,-38.35542,5.26074,1545.978,11,0.038108,NONE,-38.355131,5.272549,1172.865,8,0.036087,-0.00028900000000220416,0.00028900000000220416,-0.011808999999999514,0.011808999999999514,373.11300000000006,373.11300000000006,3,3,0.002021000000000002,0.002021000000000002,gemini
benzene,12,-75.912047,5.096055,2446.662,15,0.03827,NONE,-75.912465,5.096978,2393.542,15,0.038917,0.0004179999999962547,0.0004179999999962547,-0.0009230000000002292,0.0009230000000002292,53.11999999999989,53.11999999999989,0,0,-0.0006470000000000017,0.0006470000000000017,gemini
aniline,14,-88.194446,3.890875,4188.561,22,0.042584,NONE,-88.192846,3.886632,6960.742,42,0.038916,-0.001599999999996271,0.001599999999996271,0.004242999999999775,0.004242999999999775,-2772.1810000000005,2772.1810000000005,-20,20,0.0036679999999999977,0.0036679999999999977,gemini
bromomethane,5,-21.740462,5.271603,980.866,10,0.043943,NONE,-21.74043,5.267127,878.484,9,0.038319,-3.200000000092018e-05,3.200000000092018e-05,0.00447599999999948,0.00447599999999948,102.38199999999995,102.38199999999995,1,1,0.005624000000000004,0.005624000000000004,gemini
carbon_dioxide,3,-23.941603,8.11537,535.259,6,0.03631,NONE,-23.943519,8.114656,584.72,7,0.048651,0.0019159999999978083,0.0019159999999978083,0.0007140000000003255,0.0007140000000003255,-49.46100000000001,49.46100000000001,-1,1,-0.012340999999999998,0.012340999999999998,gemini
carbon_tetrachloride,5,-16.962194,4.74613,997.743,7,0.046416,NONE,-16.958811,4.752762,1075.031,8,0.047373,-0.0033829999999994698,0.0033829999999994698,-0.006631999999999749,0.006631999999999749,-77.2879999999999,77.2879999999999,-1,1,-0.0009569999999999995,0.0009569999999999995,gemini
benzoic_acid,15,-99.444496,3.876769,4240.302,19,0.040301,NONE,-99.694156,4.052958,4669.656,22,0.046172,0.24966000000000577,0.24966000000000577,-0.17618900000000037,0.17618900000000037,-429.35400000000027,429.35400000000027,-3,3,-0.005871000000000001,0.005871000000000001,gemini
